<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTLRP,D,20120502,000000,197.2500000,197.5000000,192.9000000,194.4400000,39640
MTLRP,D,20120503,000000,195.0000000,196.0000000,187.0200000,188.5500000,122280
MTLRP,D,20120504,000000,187.4500000,187.8500000,182.5500000,182.5500000,178980
MTLRP,D,20120505,000000,182.6000000,182.9600000,180.0000000,181.4400000,17340
MTLRP,D,20120507,000000,177.0500000,181.9700000,175.0500000,181.0000000,4740
MTLRP,D,20120508,000000,180.1000000,184.0000000,180.0000000,181.6000000,16430
MTLRP,D,20120510,000000,181.0700000,204.8900000,181.0700000,201.5000000,272020
MTLRP,D,20120511,000000,203.4900000,208.7000000,201.5000000,203.0000000,396130
MTLRP,D,20120512,000000,205.0000000,206.9700000,203.1200000,203.9900000,127380
MTLRP,D,20120514,000000,205.9900000,206.9000000,196.9500000,198.9500000,151380
MTLRP,D,20120515,000000,198.9400000,202.0000000,197.3100000,200.0000000,113890
MTLRP,D,20120516,000000,201.3500000,201.3500000,196.0000000,197.9000000,237420
MTLRP,D,20120517,000000,199.5300000,199.9000000,192.1100000,195.8000000,231980
MTLRP,D,20120518,000000,194.0000000,194.1000000,187.0000000,188.5100000,390460
MTLRP,D,20120521,000000,193.5000000,199.6100000,189.8100000,190.7000000,312240
MTLRP,D,20120522,000000,192.0000000,195.9800000,188.4400000,194.4400000,351290
MTLRP,D,20120523,000000,164.0100000,165.0000000,156.1600000,161.6500000,371460
MTLRP,D,20120524,000000,161.0100000,161.5000000,156.7100000,159.6900000,89180
MTLRP,D,20120525,000000,156.9400000,159.0000000,156.9400000,158.1000000,43220
MTLRP,D,20120528,000000,160.9900000,160.9900000,158.0600000,159.3300000,41720
MTLRP,D,20120529,000000,159.4900000,166.7500000,158.6800000,166.3500000,125530
MTLRP,D,20120530,000000,164.0000000,164.9000000,158.0500000,160.9400000,24720
MTLRP,D,20120531,000000,157.5600000,161.9000000,140.0100000,158.6500000,100410
MTLRP,D,20120601,000000,158.6300000,158.6700000,150.0000000,150.5000000,107470
MTLRP,D,20120604,000000,146.6100000,154.0000000,146.0000000,152.2900000,71710
MTLRP,D,20120605,000000,155.9900000,155.9900000,151.6900000,153.2600000,27510
MTLRP,D,20120606,000000,152.4900000,155.5000000,152.4900000,154.7400000,66820
MTLRP,D,20120607,000000,155.0000000,158.0000000,154.0600000,155.2800000,84340
MTLRP,D,20120608,000000,152.0000000,154.9900000,147.0100000,154.4000000,8780
MTLRP,D,20120609,000000,154.9100000,156.9000000,154.9100000,156.1100000,10430
MTLRP,D,20120613,000000,158.0000000,158.5000000,151.1000000,155.2400000,23320
MTLRP,D,20120614,000000,155.7400000,156.4500000,152.0000000,153.9600000,15110
MTLRP,D,20120615,000000,155.0000000,159.6000000,154.6100000,158.8000000,98380
MTLRP,D,20120618,000000,160.0000000,161.8000000,155.1200000,157.2500000,93840
MTLRP,D,20120619,000000,158.3000000,158.3000000,154.5000000,157.0000000,45040
MTLRP,D,20120620,000000,157.0000000,158.4000000,154.0000000,155.6700000,74750
MTLRP,D,20120621,000000,154.5100000,159.8300000,154.5100000,157.1400000,101250
MTLRP,D,20120622,000000,155.0000000,156.0000000,151.7000000,152.4100000,90760
